epoch,step,train_classification_loss,train_regression_loss
0,49,5.307484149932861,828.7945556640625
0,99,5.296680450439453,598.7462768554688
0,149,5.316091060638428,679.2943725585938
0,199,5.279709815979004,906.5091552734375
0,249,5.286776065826416,1056.142578125
0,299,5.287660598754883,1019.9669189453125
0,349,5.302910804748535,521.937744140625
0,399,5.326084613800049,964.3599853515625
0,449,5.3324713706970215,744.7814331054688
0,499,5.303073406219482,714.64111328125
0,549,5.293074131011963,588.9456787109375
0,599,5.271230697631836,660.397216796875
0,649,5.31049108505249,447.03375244140625
0,699,5.295316696166992,773.13427734375
0,749,5.317189693450928,639.5223388671875
0,799,5.286711692810059,601.4630126953125
0,849,5.286080360412598,393.57452392578125
0,899,5.29617977142334,521.9180908203125
0,949,5.293193340301514,801.6226806640625
0,999,5.291170120239258,735.3895874023438
0,1049,5.28720760345459,467.2627868652344
0,1099,5.299154758453369,523.848388671875
0,1149,5.291662216186523,570.262939453125
0,1199,5.292018890380859,863.8006591796875
0,1249,5.293034076690674,530.6802368164062
0,1299,5.29207181930542,347.6195983886719
0,1349,5.305572032928467,666.8993530273438
0,1399,5.270044326782227,628.7984008789062
0,1449,5.2948784828186035,760.5361938476562
